,BYD,Johnson & Johnson,ICBC,Alibaba,TotalEnergies,Qualcomm,Sony,Amazon,Reliance Industries,Baidu,Louis Vuitton (LVMH),Pfizer,Alphabet,Apple,Netflix,AMD,Intel,Nintendo,Tencent,Visa,Oracle,IBM,Tata Consultancy Services,JP Morgan,Toyota,Tesla,Meta,Microsoft,Adobe,Samsung,ExxonMobil,NVIDIA,Hyundai,Goldman Sachs,JD.com,Cisco,Shell,SoftBank,Siemens,SAP,ASML,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster
BYD,1.0,0.018152392006159514,0.05428856775417036,0.4761166712571732,0.03480002465767566,0.29849172957526204,0.27825601207489997,0.27407827812474955,0.02411270640882271,0.4938039975182376,0.019983023577996434,0.058141817347912586,0.260141700694862,0.2655682465223377,0.20872826124052954,0.2787127571784404,0.21938784322765795,0.24283911461389898,0.519782680390094,0.19670409809372147,0.13658138682758328,0.06878023542353622,-0.023353157363056966,0.18041356195303976,0.19816224610049424,0.3126790384047228,0.22165578788662854,0.2625005908944653,0.21335245228040273,-0.0127660622860953,0.13362313756514932,0.2779307765352035,0.08543209899854705,0.2176369330046277,0.4998629304960432,0.13040817136099442,-0.057943020947987575,0.022851990782828704,0.04168983868202515,0.036897774362361836,0.014588638274849318,4,3,0
Johnson & Johnson,0.018152392006159514,1.0,-0.012777321121682547,-0.046798165101425405,-0.039867925992043654,0.056909728704449186,0.10286435497536796,0.007329934375315323,0.10353830624301377,-0.0006756153729985246,-0.002656072786012105,0.4844670921825392,0.08371208199381334,0.16613355127910828,0.06459994578696437,-0.024186965934019186,0.12082395103447591,0.04092259268717228,-0.014450675357319104,0.32103828947099483,0.043250048291500046,0.3683145836601731,0.07249762185345504,0.245447560639852,0.07652769883047965,-0.0017956702775956234,0.020041733038332316,0.1363302970370386,0.11402768297734729,0.024574065129909336,0.19818209559589609,-0.056911043274596944,0.03469486620202513,0.20825624272007698,-0.003528950809096093,0.3693934059947937,0.053738598055495176,0.03799662201027385,0.09692657806791596,0.11282177714611132,0.014253056353583584,2,0,1
ICBC,0.05428856775417036,-0.012777321121682547,1.0,0.045438192728925374,0.018982007497555936,-0.021618518388547857,0.04201278928746683,-0.009337730506901032,-0.021542978876579275,0.024732855883654342,-0.023798720522025918,-0.02420334882663032,-0.029848958019396233,-0.024552194333985623,0.012067129085877428,-0.01711048226051521,0.009325008208302548,0.002187935067307809,0.04083777732145297,-0.01405490179249032,-0.020918540430129445,-0.006457555431853981,0.06906377362233228,-0.00026855149501876134,0.028037499508699274,-0.01280073382482968,-0.023623475966172203,-0.030834931667037976,-0.033141684924080365,0.06355475976384832,0.009225289104805478,-0.021326590696920368,0.00862255094802016,-0.011153340064862387,0.05393930504528987,0.010208307779834232,-2.6345717232405523e-05,-0.018386839630778334,0.03070399870648502,-0.00022323404892161667,-0.02559516563644155,1,2,-1
Alibaba,0.4761166712571732,-0.046798165101425405,0.045438192728925374,1.0,0.035768236542201785,0.28261192614872555,0.29084448909187277,0.3138977163655517,-0.07238740859604226,0.7235580711677055,0.02264129193056525,-0.013871511516708207,0.2867238216428423,0.2860459039187292,0.23794056254052826,0.30257854422861075,0.23626281953893344,0.22537056539360178,0.7738906629681699,0.19166749776535338,0.2156168464931581,0.005922831885835496,-0.03051197115636493,0.15310358142715866,0.2893368086350939,0.27499423737180534,0.31717590027646164,0.23536081688389732,0.21794065158407247,0.037359455083451794,0.09509580576543561,0.2700083838931897,0.09103411348853362,0.1811398685151823,0.7653453449085618,0.029671942240319115,0.016677755051090908,0.05402473532837651,0.04723655656373273,0.01947462876328178,0.018753174598612466,4,3,0
TotalEnergies,0.03480002465767566,-0.039867925992043654,0.018982007497555936,0.035768236542201785,1.0,0.026167584107163615,0.003421790388013851,0.004517694495026426,-0.06425362947134718,0.01421449819734668,0.3186315194008705,-0.018946807567626324,-0.014924547608611553,0.020818956564630915,0.0027663245169070286,0.009566137439077763,0.042003028974687634,0.012919415666082871,0.018117093625183538,0.015031165639816524,0.025964203777350783,-0.017683022181681333,-0.003940447159910626,-0.01822459463196155,0.014735538680508095,0.01928352090155917,0.015759724789545865,0.0070448782012777255,-0.0019495716914213585,0.059222483354168624,-0.003905424925624342,0.005137319731631839,-0.016339940035810973,-0.012931161193871098,0.046418617105489904,-0.006405491302196219,-0.025266287904915256,-0.002267614781113714,-0.04981639305034652,-0.03830862051781429,0.22878608424600422,1,4,-1
Qualcomm,0.29849172957526204,0.056909728704449186,-0.021618518388547857,0.28261192614872555,0.026167584107163615,1.0,0.43330304704883404,0.510847790836992,-0.03429228137824957,0.3259937822184946,-0.011682134917638469,0.1427329420320366,0.5032414883046903,0.57525939756006,0.37953868315006734,0.6217249979570624,0.5053080026625902,0.2671915977684515,0.30123998272794833,0.40398990315469296,0.35892675182579314,0.2655534950793509,-0.04533015967707437,0.3211271347394589,0.38799332304568096,0.4389112440817701,0.4595687301081124,0.545302575308162,0.49751512138954546,0.022565753407733643,0.19181351646535882,0.6303931738338723,0.14846895324182507,0.40059661296102794,0.32020727986263936,0.36206922648568,0.027030903276051572,0.0021100176481103038,0.03654050721019577,0.06151917894022963,0.009332553745407248,0,1,2
Sony,0.27825601207489997,0.10286435497536796,0.04201278928746683,0.29084448909187277,0.003421790388013851,0.43330304704883404,1.0,0.3960881692373427,0.003093326610861421,0.3230444962008573,-0.0236315680488893,0.14532663411822494,0.4200143702338761,0.44080372409195967,0.3164494315414061,0.42187309231259806,0.3505933800849014,0.3297891087220311,0.3107545908001378,0.35452646989084824,0.27186040763673414,0.2209177890612373,-0.007051756155788298,0.30680738298763266,0.42988590773752605,0.3532778890870034,0.3814253155433191,0.4247577014134854,0.3505497006746092,0.010441946556415024,0.1789855272203717,0.4239623186160742,0.12506635221618814,0.366685068984184,0.3031575343660164,0.28400716918239155,-0.020504965367779182,0.027889535916734022,0.028272658595449886,0.03967139049341884,-0.037718745209942124,3,1,2
Amazon,0.27407827812474955,0.007329934375315323,-0.009337730506901032,0.3138977163655517,0.004517694495026426,0.510847790836992,0.3960881692373427,1.0,-0.020159330340738545,0.32207735410574057,-0.00773076569940204,0.06670094492938305,0.648590830245289,0.5956431642092346,0.48725500686738155,0.555611985748513,0.38240537658308554,0.2896901248634805,0.27338763628163465,0.38434265019091424,0.40506086674554886,0.1267697509349371,-0.050769240260396725,0.2681035187190876,0.3482165896028222,0.46465487676779016,0.6331701400643255,0.6794832944779439,0.5614384684201889,0.00770561921300197,0.08508280809188326,0.5760654420527097,0.1054531836080582,0.3628507606652417,0.30152417860152164,0.2731210664464743,0.02036465996006403,-0.044277174671297166,0.029023649871544387,0.05075890213059689,0.007498009126601782,0,1,2
Reliance Industries,0.02411270640882271,0.10353830624301377,-0.021542978876579275,-0.07238740859604226,-0.06425362947134718,-0.03429228137824957,0.003093326610861421,-0.020159330340738545,1.0,-0.032338483236600477,0.021601654622359804,0.07567331493768553,-0.011280957570893332,-0.007144650039536021,0.028485699681913314,-0.018928250794649687,-0.004358235551671709,-0.003860014000763002,0.002644152869433417,0.07731103152349285,0.0019321590123276768,0.06581925851864638,0.29208335245214806,0.0617285442632422,-0.029555630910157542,0.03231416912232927,-0.02790747273217579,-0.002226608594604624,0.029309921708162767,-0.06299407513600408,0.01746380497865465,-0.02009791776509087,0.02464965454069044,0.05452099052566403,-0.05790788986904359,0.07924204490509201,-0.005098647034806341,-0.04967349354562416,0.022710917216393112,0.023047924712491837,0.011251608587066442,1,2,-1
Baidu,0.4938039975182376,-0.0006756153729985246,0.024732855883654342,0.7235580711677055,0.01421449819734668,0.3259937822184946,0.3230444962008573,0.32207735410574057,-0.032338483236600477,1.0,0.029787554236492708,0.023087464648736126,0.3376380021585708,0.31789545084887144,0.25088161944544973,0.35258626977310314,0.264761566290129,0.23827481055856573,0.6907156220418783,0.23469498607276904,0.16419804215061268,0.05444706512789135,0.00479984175697408,0.19399824292008924,0.2967332373463946,0.3160978336247455,0.3091821254774637,0.283002408851333,0.2700603225177039,0.01679855613470114,0.1323210704577029,0.31299356728241773,0.11644403503115906,0.22709569843144528,0.718579531498734,0.09519613672552939,0.0073793261146958234,0.04847455515666554,0.03643086666683037,0.024125927005133548,0.032651919935004804,4,3,0
