,debtToEquity,currentRatio,quickRatio,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster
Apple,145.0,0.923,0.783,0,0,0
Microsoft,33.998,1.351,1.204,4,0,0
Amazon,54.342,1.064,0.837,4,0,0
Alphabet,8.655,1.837,1.661,2,1,0
Meta,27.25,2.978,2.822,1,4,1
Tesla,18.489,2.025,1.427,2,1,0
NVIDIA,12.946,4.44,3.672,1,3,-1
Samsung,4.806,2.433,1.778,2,1,0
Tencent,35.661,1.285,1.0,4,0,0
Alibaba,24.142,1.482,0.991,4,0,0
IBM,213.179,1.04,0.875,0,0,0
Intel,48.277,1.327,0.938,4,0,0
Oracle,632.501,1.017,0.873,3,2,2
Sony,51.356,0.682,0.486,0,0,0
Adobe,50.118,1.185,1.027,4,0,0
Netflix,72.726,1.218,1.076,4,0,0
AMD,4.032,2.616,1.657,2,1,0
Qualcomm,54.23,2.619,1.794,2,1,0
Cisco,71.21,0.867,0.659,0,0,0
Goldman Sachs,611.106,1.504,1.352,3,2,2
Visa,53.815,1.121,0.708,4,0,0
Johnson & Johnson,52.922,1.111,0.782,4,0,0
Pfizer,76.181,1.171,0.82,4,0,0
ExxonMobil,17.852,1.308,0.949,4,0,0
ASML,27.41,1.533,0.91,4,0,0
SAP,22.164,1.122,0.987,4,0,0
Siemens,76.939,1.537,0.917,4,0,0
Louis Vuitton (LVMH),59.613,1.409,0.664,4,0,0
TotalEnergies,45.088,1.098,0.592,0,0,0
Shell,42.782,1.346,0.894,4,0,0
Baidu,27.969,2.086,1.709,2,1,0
JD.com,28.653,1.291,0.883,4,0,0
BYD,29.263,0.707,0.42,0,0,0
Toyota,107.389,1.215,1.018,4,0,0
SoftBank,137.406,0.765,0.573,0,0,0
Hyundai,131.158,1.456,1.16,4,0,0
Tata Consultancy Services,8.469,2.624,2.415,2,4,1
